Date,HYB_Delay,weather_code_HYB,Temperature_HYB,Wind_Speed_HYB,Distance_travelled_HYB,BMT_Delay,weather_code_BMT,Temperature_BMT,Wind_Speed_BMT,Distance_travelled_BMT,VKB_Delay,weather_code_VKB,Temperature_VKB,Wind_Speed_VKB,Distance_travelled_VKB,TDU_Delay,weather_code_TDU,Temperature_TDU,Wind_Speed_TDU,Distance_travelled_TDU,CT_Delay,weather_code_CT,Temperature_CT,Wind_Speed_CT,Distance_travelled_CT,WADI_Delay,weather_code_WADI,Temperature_WADI,Wind_Speed_WADI,Distance_travelled_WADI,KLBG_Delay,weather_code_KLBG,Temperature_KLBG,Wind_Speed_KLBG,Distance_travelled_KLBG,GUR_Delay,weather_code_GUR,Temperature_GUR,Wind_Speed_GUR,Distance_travelled_GUR,SUR_Delay,weather_code_SUR,Temperature_SUR,Wind_Speed_SUR,Distance_travelled_SUR,KWV_Delay,weather_code_KWV,Temperature_KWV,Wind_Speed_KWV,Distance_travelled_KWV,PUNE_Delay,weather_code_PUNE,Temperature_PUNE,Wind_Speed_PUNE,Distance_travelled_PUNE,KYN_Delay,weather_code_KYN,Temperature_KYN,Wind_Speed_KYN,Distance_travelled_KYN,DR_Delay,weather_code_DR,Temperature_DR,Wind_Speed_DR,Distance_travelled_DR,CSMT_Delay,weather_code_CSMT,Temperature_CSMT,Wind_Speed_CSMT,Distance_travelled_CSMT
15/11/23,0.0,3.0,23.919748,11.304229,,2.0,3.0,23.873335,11.808878,,1.0,3.0,23.506086,12.096214,,5.0,3.0,24.487165,10.990322,,5.0,2.0,25.009583,9.726664,,20.0,3.0,25.27183,12.7279215,,8.0,3.0,25.073996,14.773164,,9.0,3.0,25.526749,13.104198,,11.0,3.0,26.939835,15.575981,,3.0,3.0,26.806084,24.703974,,19.0,3.0,23.323334,10.105681,,17.0,0.0,27.40867,13.684735,,1.0,2.0,27.263498,18.448023,,4.0,0.0,28.266,24.482647,
16/11/23,2.0,3.0,23.661417,10.739832,,4.0,3.0,23.75042,11.966954,,14.0,3.0,23.206085,13.755579,,17.0,3.0,24.026749,10.195057,,12.0,3.0,24.684584,10.636766,,14.0,3.0,24.834335,11.808878,,25.0,3.0,24.640665,11.885453,,24.0,3.0,25.30175,12.261157,,33.0,3.0,27.116919,12.7279215,,34.0,3.0,26.670664,22.148046,,50.0,3.0,23.421251,9.793059,,55.0,1.0,26.594084,10.97262,,17.0,1.0,27.242666,17.974781,,27.0,1.0,27.895164,24.606731,
17/11/23,1.0,3.0,23.907255,9.585739,,3.0,3.0,23.865004,9.028754,,9.0,3.0,23.751915,10.661107,,12.0,3.0,24.355919,7.771331,,7.0,3.0,24.911667,9.360001,,14.0,3.0,24.948915,11.304229,,7.0,3.0,24.978165,11.119281,,28.0,3.0,25.635084,10.195057,,38.0,3.0,27.0815,13.5515,,31.0,3.0,26.683165,11.183201,,87.0,1.0,23.69,11.304229,,107.0,0.0,26.902414,13.237039,,79.0,2.0,27.325998,21.273533,,96.0,0.0,27.882668,28.512817,
18/11/23,1.0,3.0,24.340584,10.739833,,20.0,3.0,24.406668,10.829958,,8.0,3.0,24.67692,12.758432,,12.0,3.0,25.672585,10.308831,,7.0,3.0,26.140833,10.028439,,8.0,3.0,25.998917,11.440978,,7.0,2.0,25.657335,10.495713,,8.0,3.0,26.280914,11.4862,,9.0,3.0,28.31275,16.299694,,2.0,3.0,28.06442,16.323528,,0.0,3.0,23.419168,9.9571085,,5.0,1.0,26.817,10.163227,,2.0,2.0,26.776001,15.484185,,30.0,2.0,27.553497,20.945072,
19/11/23,1.0,3.0,24.08225,13.37825,,3.0,3.0,24.102503,14.021525,,0.0,3.0,24.197748,16.071491,,20.0,3.0,25.65175,12.015589,,18.0,3.0,26.615828,12.313893,,28.0,3.0,26.690584,11.298495,,19.0,3.0,26.059418,13.084402,,21.0,3.0,26.639252,14.039999,,25.0,3.0,28.20025,17.31746,,19.0,3.0,28.37275,20.018072,,30.0,3.0,24.856665,8.654986,,37.0,3.0,28.069086,16.343367,,23.0,2.0,27.357248,19.513195,,13.0,2.0,27.651419,25.671307,
20/11/23,2.0,3.0,24.415588,10.703569,,13.0,3.0,24.194168,10.739832,,9.0,3.0,23.92275,13.089354,,11.0,3.0,24.439253,11.525623,,7.0,3.0,25.053331,14.003028,,8.0,3.0,25.394747,14.05845,,1.0,3.0,25.126085,12.904882,,2.0,3.0,25.67467,12.245293,,9.0,3.0,27.721083,20.87379,,2.0,3.0,27.37692,21.2522,,6.0,3.0,25.425415,12.849528,,10.0,3.0,29.081583,11.525623,,1.0,3.0,28.50308,18.079027,,10.0,3.0,28.259748,21.096123,
21/11/23,2.0,51.0,24.409334,12.879752,,5.0,51.0,24.346254,12.397806,,10.0,51.0,24.062334,14.693999,,19.0,3.0,25.133001,13.18308,,11.0,3.0,25.397078,13.684735,,7.0,3.0,25.659334,14.4,,12.0,3.0,25.365667,14.4,,11.0,3.0,26.099669,14.081478,,11.0,3.0,27.74192,17.727943,,8.0,3.0,27.137335,19.319628,,37.0,2.0,24.10875,14.264361,,43.0,3.0,28.131586,14.24163,,5.0,3.0,28.321836,21.382906,,15.0,3.0,28.1035,25.570139,
22/11/23,1.0,51.0,24.419748,11.609651,,4.0,51.0,24.39625,10.8955765,,1.0,51.0,24.14775,12.429127,,8.0,51.0,25.420502,9.346143,,2.0,3.0,26.088747,11.659777,,0.0,3.0,26.311419,13.217443,,1.0,3.0,25.70733,11.440978,,6.0,3.0,26.247583,11.304229,,2.0,3.0,28.139833,12.864649,,0.0,3.0,27.233168,16.323528,,17.0,0.0,23.794165,10.464798,,32.0,1.0,26.958672,15.175612,,14.0,1.0,27.490583,20.150354,,0.0,1.0,27.636833,28.460497,
23/11/23,4.0,51.0,23.559332,17.727943,,14.0,61.0,23.419172,15.596767,,39.0,53.0,23.391502,16.1198,,43.0,51.0,24.768417,13.661038,,37.0,51.0,25.692917,15.042659,,33.0,51.0,25.89683,17.31746,,39.0,51.0,25.607338,15.986595,,41.0,51.0,26.147585,15.226764,,45.0,51.0,27.496084,18.359999,,39.0,51.0,26.426916,21.129883,,38.0,3.0,24.402498,9.504273,,51.0,1.0,27.335754,11.808878,,2.0,0.0,27.294752,19.855558,,8.0,0.0,27.482666,26.309572,
24/11/23,0.0,63.0,22.903082,16.42247,,10.0,61.0,22.82125,16.42247,,19.0,53.0,22.728998,18.671474,,19.0,51.0,24.297579,13.891522,,22.0,51.0,24.980417,12.864649,,24.0,51.0,25.176003,13.084402,,22.0,53.0,24.794832,15.111424,,23.0,51.0,25.428835,14.145756,,33.0,51.0,26.527334,19.469976,,30.0,51.0,26.68525,18.671474,,29.0,51.0,24.283747,14.578888,,44.0,1.0,27.925333,12.496718,,0.0,1.0,27.811417,16.311613,,1.0,0.0,27.724329,18.888851,
