Date,SC_Delay,weather_code_SC,Temperature_SC,Wind_Speed_SC,Distance_travelled_SC,WL_Delay,weather_code_WL,Temperature_WL,Wind_Speed_WL,Distance_travelled_WL,KMT_Delay,weather_code_KMT,Temperature_KMT,Wind_Speed_KMT,Distance_travelled_KMT,BZA_Delay,weather_code_BZA,Temperature_BZA,Wind_Speed_BZA,Distance_travelled_BZA,EE_Delay,weather_code_EE,Temperature_EE,Wind_Speed_EE,Distance_travelled_EE,RJY_Delay,weather_code_RJY,Temperature_RJY,Wind_Speed_RJY,Distance_travelled_RJY,SLO_Delay,weather_code_SLO,Temperature_SLO,Wind_Speed_SLO,Distance_travelled_SLO,TUNI_Delay,weather_code_TUNI,Temperature_TUNI,Wind_Speed_TUNI,Distance_travelled_TUNI,AKP_Delay,weather_code_AKP,Temperature_AKP,Wind_Speed_AKP,Distance_travelled_AKP,DVD_Delay,weather_code_DVD,Temperature_DVD,Wind_Speed_DVD,Distance_travelled_DVD,VSKP_Delay,weather_code_VSKP,Temperature_VSKP,Wind_Speed_VSKP,Distance_travelled_VSKP
17/11/23,0.0,3.0,23.871084,10.446206,,46.0,3.0,25.246584,11.304229,,64.0,3.0,26.977417,12.682018,,23.0,3.0,28.166754,12.475961,,19.0,3.0,27.6735,15.745627,,43.0,3.0,27.749666,16.75064,,40.0,3.0,27.362246,14.8257065,,37.0,3.0,26.798166,15.281989,,31.0,3.0,26.849585,17.581125,,19.0,3.0,26.496332,16.595179,,13.0,3.0,26.953835,16.923828,
18/11/23,121.0,3.0,24.258583,10.703569,,135.0,3.0,25.69867,13.584932,,178.0,3.0,27.162834,12.475961,,143.0,3.0,28.108414,19.95972,,170.0,3.0,27.875574,15.937878,,212.0,3.0,27.7955,21.659916,,213.0,3.0,27.114336,15.893093,,214.0,3.0,26.727335,18.218275,,215.0,3.0,27.012083,19.137648,,213.0,3.0,26.588003,18.486622,,200.0,51.0,26.926748,17.698677,
19/11/23,1.0,3.0,23.946081,14.021525,,27.0,3.0,25.436165,11.720751,,42.0,3.0,27.181587,11.298495,,17.0,3.0,28.004248,16.75064,,14.0,3.0,28.386003,18.014393,,19.0,3.0,27.491331,18.129137,,26.0,3.0,27.051832,17.283749,,25.0,51.0,26.831503,20.620806,,30.0,3.0,26.945417,17.654688,,20.0,3.0,26.627584,17.654686,,15.0,51.0,26.81217,19.493261,
20/11/23,0.0,3.0,24.233583,10.883676,,37.0,3.0,26.173668,11.183201,,65.0,3.0,27.814919,16.992609,,38.0,51.0,27.227165,20.523155,,24.0,61.0,26.558916,23.444265,,41.0,63.0,25.393415,21.41319,,48.0,63.0,24.893501,21.194187,,41.0,53.0,24.937746,20.326454,,22.0,65.0,24.243332,17.208603,,26.0,63.0,24.090086,16.992609,,15.0,65.0,24.697584,21.252197,
21/11/23,0.0,51.0,24.227335,13.049689,,21.0,51.0,26.215332,9.826088,,37.0,51.0,27.033669,14.693999,,9.0,51.0,26.168833,18.678415,,9.0,65.0,25.456833,20.898611,,17.0,61.0,25.553835,19.171478,,25.0,61.0,25.170578,15.484185,,19.0,63.0,24.777336,14.973576,,13.0,65.0,24.447502,15.077082,,2.0,63.0,24.263,14.081477,,10.0,63.0,24.872583,15.778518,
22/11/23,0.0,51.0,24.262749,11.525623,,18.0,53.0,25.471586,8.78872,,49.0,51.0,27.217003,14.003029,,3.0,61.0,26.377161,15.84,,5.0,55.0,26.419334,14.264361,,5.0,51.0,26.710083,14.345898,,6.0,51.0,26.353914,13.661038,,5.0,53.0,26.158583,14.986553,,3.0,51.0,26.380836,14.917212,,0.0,3.0,26.123419,15.5843,,-7.0,51.0,26.337166,15.84409,
23/11/23,20.0,55.0,23.241919,16.267857,,45.0,55.0,24.68825,9.9571085,,64.0,53.0,26.056587,19.161337,,16.0,63.0,25.977163,16.199999,,17.0,63.0,25.967247,18.532133,,25.0,53.0,26.518415,17.015474,,25.0,53.0,26.0185,16.23596,,8.0,53.0,25.719002,16.946787,,13.0,51.0,25.66208,15.84409,,5.0,51.0,25.442167,13.75558,,13.0,51.0,25.845499,15.978486,
24/11/23,0.0,61.0,22.735666,16.299694,,38.0,61.0,23.69242,9.726664,,63.0,51.0,25.939919,15.141414,,26.0,51.0,26.88758,15.629971,,33.0,51.0,27.202665,19.70815,,44.0,3.0,26.772585,20.598795,,43.0,3.0,26.2685,18.775301,,36.0,3.0,26.062752,18.511143,,33.0,3.0,26.026665,16.563911,,14.0,3.0,25.773417,17.294992,,15.0,3.0,26.235085,17.81909,
25/11/23,65.0,3.0,23.779417,17.551615,,133.0,61.0,24.540335,12.538134,,165.0,53.0,26.467001,10.239453,,140.0,51.0,27.127165,14.118243,,145.0,51.0,27.45267,16.1198,,148.0,51.0,26.703835,18.089775,,144.0,3.0,26.335167,17.731598,,142.0,53.0,26.116919,20.545246,,123.0,53.0,26.064165,16.62249,,119.0,53.0,25.881746,17.873556,,105.0,51.0,26.374664,20.431387,
26/11/23,1.0,51.0,23.837748,16.58346,,32.0,51.0,25.30075,12.964998,,56.0,3.0,26.852417,11.480557,,0.0,51.0,27.298002,14.386494,,13.0,3.0,27.429747,15.315873,,21.0,3.0,26.599665,19.242327,,18.0,3.0,26.176834,17.026896,,13.0,3.0,25.94192,20.082708,,9.0,3.0,25.818335,15.941944,,13.0,3.0,25.588,17.283749,,0.0,3.0,26.066332,19.08,
