Date,VSKP_Delay,weather_code_VSKP,Temperature_VSKP,Wind_Speed_VSKP,Distance_travelled_VSKP,DVD_Delay,weather_code_DVD,Temperature_DVD,Wind_Speed_DVD,Distance_travelled_DVD,AKP_Delay,weather_code_AKP,Temperature_AKP,Wind_Speed_AKP,Distance_travelled_AKP
01/11/23,1,61.0,26.330835,19.66536,,0,61.0,26.844587,22.366402,,2,61.0,26.894167,19.803272,
02/11/23,0,61.0,26.014166,17.377226,,1,61.0,26.527916,16.516901,,3,53.0,27.1025,16.454008,
